Player,Nation,Pos,Squad,Comp,CrdY/90,CrdR/90,G/90,A/90,PKatt,xA/90,(G-xG)/90,Sh/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,LongAtt/90,(A-xA)/90,(1/3)/90,PPA/90,CrsPA/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,Clr/90,TchDef:Pen%,Tch:Mid%,Tch:Att%,Tch:Live%,Dri/90,DriW%,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,0.1,0.0,0.0,0.05,0,0.04,-0.06,0.91,57.21,5.69,78.9,25.99,7.72,0.01,3.45,1.32,0.2,9.9,1.83,0.1,7.97,0.1,5.69,1.02,1.73,63.6,19.4,16.9,65.9,17.2,2.2,0.3,1.1,2.0,2.6,3.0,0.05,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,1.68,1.07,0.56,0.05,2.13,0.76,10.46,3.5,6.6,1.02,1.57,0.36,0.05,1.73,2.03,11.0,46.2,24.7,80.9,1.07,42.9,4.8,54.1,5.79,1.52,0.46,0.66,0.81,42.39,92.8,5.9,-2.012856312454924,2.4284995287218027,2.8964279582660266,-1.5347728982890494,-0.37866471125955614,-1.6111023448472004,0.963798825014593,-0.05708205603607821,-0.060940374773403194,-0.17866189071730373,0.6062822949420683,-0.4580543157635097,0.592756758333602,-1.5529842968957717,-0.36439367999872607,2.4976875309973137,1.1775662748213835,1.679215145136181
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,0.12,0.03,0.09,0.0,0,0.01,0.04,0.47,53.43,2.83,87.8,11.74,11.4,-0.01,2.52,0.03,0.0,1.84,1.84,0.0,0.0,0.0,5.23,1.21,0.0,79.6,7.2,13.2,66.2,27.7,3.3,0.2,0.2,1.5,1.4,0.8,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.59,0.62,0.0,1.15,0.47,11.81,4.55,7.85,0.53,1.59,0.62,0.06,1.74,5.3,51.2,44.2,1.8,91.0,0.62,60.0,5.65,55.4,1.81,0.25,0.03,0.25,0.47,43.83,97.0,0.5,-5.774045506406129,-2.3417186911416823,-1.1930820227245906,-1.0106217265009592,-1.0120406361025354,1.6590071142764617,2.260379463751308,0.31394428092299936,-0.02746365939153581,0.8097012292223641,0.14763201243215462,0.009211007656760056,1.0265539652602718,-1.390059945856009,-0.671135441129768,-0.14137570057351048,1.6564244868235733,0.8264622412509784
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,0.34,0.0,0.0,0.0,0,0.05,-0.07,1.36,49.32,2.86,85.0,17.89,10.48,-0.05,4.08,0.48,0.27,3.33,2.18,0.95,0.2,0.07,5.65,2.24,1.43,75.0,9.7,15.3,13.8,81.2,2.6,0.6,0.7,2.1,1.4,1.0,0.14,0.0,0.14,0.14,0.07,0.0,0.0,0.0,0.0,0.0,2.52,1.09,1.22,0.2,1.7,0.75,16.67,5.78,5.1,2.52,1.22,0.14,0.0,1.56,0.95,7.5,58.1,18.4,87.0,2.18,71.9,5.86,48.5,4.08,1.5,0.07,0.41,1.22,42.72,90.0,2.5,-2.462221894793669,1.6509845988170941,-1.2424287821849294,1.872011863840349,0.8856234656757089,0.9556361695204748,-0.8132561158900736,-2.362629201860551,-0.01177854546109086,0.33775216739748376,-0.019165438030672468,0.7970218356829334,-0.6476995740404654,1.0038611640041986,0.19366523431615662,0.551288175274235,-0.5667326885221392,0.03440061161387544
Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.15,0.0,0.09,0.03,0,0.04,0.05,0.91,48.39,3.37,83.5,18.33,8.78,-0.01,3.43,0.52,0.12,1.4,1.12,0.03,0.21,0.06,9.7,1.61,0.55,73.7,12.4,13.8,8.6,87.4,2.8,0.3,0.3,1.8,3.1,1.8,0.03,0.15,0.12,0.15,0.3,0.03,0.0,0.03,0.03,0.03,4.86,1.98,2.4,0.49,5.44,1.61,29.12,8.18,9.82,2.92,1.55,0.18,0.03,1.4,0.4,5.5,60.7,14.8,92.4,0.94,71.0,4.25,49.9,3.25,1.03,0.09,1.25,1.4,43.37,92.6,3.6,-2.4987448425049332,4.029056379842376,-1.2368248766958583,8.821702377824685,0.8703220104083442,2.192024810525448,0.27839214013161145,1.6883891356335212,-0.4109135767231803,1.1668031874297973,-1.0479237702219855,0.357921749279681,0.6035854046982695,0.6844790223199266,0.6195505706960207,0.40503549038473863,1.3394756593150126,0.22578983110688064
Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,0.1,0.0,0.3,0.2,0,0.03,0.09,1.87,21.19,1.09,67.3,10.79,1.98,0.17,0.89,0.5,0.0,1.49,0.0,0.0,0.0,0.1,7.62,0.2,0.4,65.4,15.4,19.2,66.4,12.1,7.5,1.4,0.0,3.3,0.5,6.5,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.69,0.59,0.1,0.0,1.39,0.5,22.18,5.64,2.38,9.31,0.69,0.1,0.0,0.69,0.59,27.8,45.3,43.4,90.7,2.67,44.4,4.63,52.1,2.67,1.09,0.4,3.47,2.48,48.71,51.4,26.1,4.642403220720009,-3.9667637721728335,0.5746652113874497,1.3407477400537289,0.014278624998938274,-0.5757085467572851,2.0505798486402838,-0.2247376478459771,2.6050646559691675,-0.827690479717616,0.6483930746678783,-2.1332912295501307,-1.3200864333700297,-0.35079451305128434,0.16805243714847481,-1.7238349765422538,2.1967159748439262,-0.5888947821616696
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,0.07,0.0,0.0,0.0,0,0.0,-0.09,0.93,44.57,2.21,80.9,9.57,14.64,-0.01,2.14,0.14,0.0,1.86,1.71,0.0,0.14,0.0,4.79,3.07,0.07,67.9,8.2,23.9,30.6,62.0,4.8,0.0,0.0,2.4,0.8,0.5,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.14,0.43,0.0,1.21,0.64,7.64,3.21,5.21,0.36,1.14,0.36,0.0,2.29,10.14,64.0,40.5,2.7,91.0,0.43,83.3,6.61,54.8,1.14,0.07,0.0,0.14,0.07,33.71,97.7,0.0,-5.898108230938097,-3.7059072969550564,-0.22195897973426412,-2.6796187241704867,0.5697472393240576,2.754455259748691,0.6133281136064392,-0.5198565724596754,-0.4726279408021308,-0.7652726940970321,-0.9475341557823833,-0.17002809465627958,1.419660605628917,1.0591118980621,1.2147986678545586,-0.6783283130354563,-0.8895221064601926,-1.3198753459853914
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,0.37,0.07,0.07,0.0,0,0.03,0.02,0.66,50.66,3.16,81.9,15.0,11.84,-0.04,3.68,0.22,0.15,4.19,1.25,0.0,2.94,0.07,5.51,1.69,0.59,62.8,13.5,23.7,9.9,72.6,7.8,0.1,0.4,1.0,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.74,0.37,0.15,1.47,0.59,10.59,4.71,5.96,1.18,1.91,0.37,0.07,1.1,2.43,8.0,50.0,11.8,87.4,0.44,50.0,5.31,54.6,3.24,0.66,0.0,0.22,0.0,34.78,96.0,1.8,-4.464705742189934,-1.3935413598764264,0.7887710823589924,-0.5621291576500834,0.8139305956720008,-0.41048811440001876,-1.222990237419381,-0.6044309410289628,-1.3929583540461528,0.36853685122394053,1.2491364009445116,0.4172308878613954,-0.21187780662558675,-1.607333354467932,-1.9341482431058108,-0.42055096222707083,1.3906564340198346,2.215030600678928
Tammy Abraham,ENG,FW,Chelsea,Premier League,0.0,0.0,0.52,0.09,0,0.07,-0.03,2.77,18.79,0.95,68.3,10.17,1.29,0.01,1.03,0.17,0.0,0.86,0.17,0.0,0.0,0.0,6.64,0.09,0.34,62.4,24.8,12.8,7.8,67.4,8.3,5.5,0.0,1.8,1.4,6.0,0.09,0.26,0.26,0.0,0.17,0.0,0.0,0.0,0.09,0.0,0.69,0.26,0.34,0.09,0.52,0.09,13.97,3.28,1.12,6.72,0.78,0.17,0.0,0.17,1.47,39.8,44.8,44.5,93.0,1.64,31.6,4.01,35.5,1.12,0.43,0.34,2.24,1.12,42.33,51.1,38.2,5.635286017499154,-7.4704409975635615,-0.39091549003618625,0.7810207468553364,0.6957422928654612,-2.94362378046429,-0.5388052416233626,0.6965855816651303,0.6536707330488367,0.12227038656362481,0.022107356677796276,0.8694938482105905,1.2227164699618707,-0.10870543192194901,1.2026899925065853,-1.2705589421114705,1.5944775087494385,-1.3714151620324002
Francesco Acerbi,ITA,DF,Lazio,Serie A,0.29,0.03,0.0,0.03,0,0.03,-0.03,0.26,65.02,3.16,88.6,19.33,14.57,0.0,3.67,0.64,0.29,3.45,1.73,0.0,0.77,0.03,5.85,2.33,0.83,72.1,10.2,17.7,75.6,16.7,4.6,0.2,0.2,1.3,0.7,0.7,0.0,0.06,0.0,0.06,0.13,0.0,0.0,0.0,0.0,0.0,1.76,1.15,0.51,0.1,1.18,0.35,11.18,4.66,6.42,0.96,1.63,0.61,0.0,1.98,4.95,9.7,45.1,7.5,87.8,0.38,91.7,6.78,53.1,3.71,1.02,0.03,0.45,0.26,50.86,97.3,1.4,-5.18452644102972,0.45460494528880957,-0.7302454090605107,-1.7234101396892276,-0.13554458914929385,0.3231920668340371,2.216358307063885,-0.8831794345996711,-0.10429338441067215,-0.7501455166972637,0.23248501004033006,0.4317143387484855,-0.24204901498456674,0.7322778335495689,-0.5360512429157825,-0.55827384924328,-0.5505141732431075,-0.7823375577894004
Marcos Acuña,ARG,DF,Sevilla,La Liga,0.19,0.0,0.04,0.08,0,0.11,-0.0,0.7,68.38,4.71,80.5,23.63,13.86,-0.03,4.25,1.39,0.69,10.81,1.7,0.93,8.19,0.08,6.83,2.59,3.13,59.1,16.8,24.1,73.0,12.0,2.2,0.1,0.2,1.7,2.0,2.7,0.19,0.08,0.0,0.04,0.15,0.04,0.0,0.04,0.0,0.0,2.78,1.51,0.89,0.39,1.51,0.89,13.32,4.52,5.91,2.32,1.51,0.12,0.0,0.97,1.31,5.9,42.7,24.5,82.1,2.32,68.3,4.51,64.2,5.14,1.31,0.31,1.27,1.27,55.48,94.4,4.1,-1.1751282862110075,4.817981159608194,2.9309989499699873,-1.134340262028241,-0.1871397896660477,-1.2543535560257053,1.6019131539551246,-0.3519788007003831,-0.3356024943880165,0.4021445370566301,-0.5465367444387205,0.3571972930684646,0.96026389516432,0.7916428034670827,0.2769173426827476,-1.2854294286314059,-0.42527439170955184,-0.35172883241326464
Che Adams,SCO,FW,Southampton,Premier League,0.03,0.0,0.3,0.17,0,0.19,0.01,1.89,21.39,2.06,70.0,10.2,2.47,-0.03,0.91,0.84,0.07,0.41,0.03,0.0,0.0,0.27,5.95,0.47,0.44,62.9,19.7,17.4,6.2,79.0,5.7,3.8,0.9,1.4,4.4,5.2,0.03,0.2,0.27,0.1,0.27,0.0,0.0,0.0,0.03,0.0,1.01,0.17,0.44,0.41,0.78,0.2,14.53,4.66,1.62,7.43,0.88,0.14,0.0,0.37,0.54,22.4,42.9,47.6,93.3,1.49,56.8,4.17,44.5,2.26,0.91,0.34,2.5,1.76,49.8,49.8,25.7,6.165650669795822,-4.037394686682965,-0.5941655835757961,1.5527750878808864,1.344739232975946,-1.5757192645437137,-0.902355237990828,-0.04491869774787479,0.5251872894195799,-0.13837864456637122,-1.0781163320274858,0.3129415317502552,0.45741510989815476,-1.726953576200846,-0.8307412536815405,1.135858232589068,-0.4362350812651124,-0.8606494473152598
Tyler Adams,USA,"DF,MF",RB Leipzig,Bundesliga,0.15,0.0,0.05,0.05,0,0.04,0.0,0.34,66.75,4.37,86.1,31.46,6.8,0.0,4.13,0.92,0.1,4.9,1.12,0.0,3.79,0.0,8.93,0.44,0.58,74.5,12.8,12.7,11.1,76.9,4.1,0.6,0.1,0.5,2.4,2.0,0.0,0.0,0.15,0.05,0.15,0.0,0.0,0.0,0.0,0.05,2.52,0.92,1.26,0.34,1.75,0.73,17.57,5.73,4.56,3.2,1.8,0.29,0.0,1.5,1.94,5.4,55.6,21.5,88.0,1.02,85.7,4.91,49.5,5.15,1.65,0.19,0.87,1.5,57.67,91.6,4.3,-2.151456728568093,2.517795440744584,-1.9183374384105425,2.4964840089136655,-1.1554842087830939,-2.096013201693717,-0.509511909355644,0.6548057044233297,0.31885583999714506,-0.6312618550960578,-1.3032597061323563,1.1087794514440072,-1.3013588818511186,0.15492446293474332,0.9438660862307133,0.39917014253150734,0.4512405697573783,-0.021785497262602153
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,0.03,0.0,0.0,0.0,0,0.01,-0.03,0.61,55.61,2.23,87.4,10.37,14.33,-0.01,2.07,0.15,0.03,1.49,1.28,0.0,0.21,0.06,5.34,1.49,0.09,77.2,7.0,15.7,13.6,79.1,4.4,0.2,0.2,1.8,1.2,0.9,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.25,0.95,0.27,0.03,1.16,0.61,5.55,1.8,3.51,0.21,1.16,0.7,0.0,1.68,7.35,46.6,39.5,3.1,93.2,0.34,72.7,4.66,56.0,1.52,0.18,0.0,0.15,0.24,46.68,97.4,0.3,-5.318452785486589,-3.6691427116156476,-1.6149439690142435,-2.915776259781302,-0.42298359177031253,0.6299632956162873,-0.3813147824559703,0.3378196817861334,0.20830279186743203,-0.33140372816860036,-1.0088102568312973,-0.09749269247381671,0.8078463259923707,-0.4229188341610838,0.5885099548405284,-0.09797724282856099,-1.1185881172012528,-0.7904864326231619
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,0.22,0.0,0.07,0.19,0,0.18,0.02,0.89,60.56,5.28,82.6,21.15,12.9,0.01,5.5,0.89,0.15,2.23,1.41,0.67,0.15,0.37,9.63,2.64,1.12,77.5,9.7,12.8,8.3,88.1,1.9,0.3,0.4,1.7,2.6,2.2,0.22,0.04,0.11,0.19,0.3,0.04,0.0,0.04,0.0,0.0,3.38,1.45,1.49,0.45,3.2,1.04,25.84,6.91,7.81,4.72,1.34,0.15,0.0,1.52,0.89,5.1,60.1,19.8,90.6,3.09,66.3,4.97,56.2,5.8,1.75,0.26,1.23,1.6,57.96,92.9,2.3,-0.548300908153976,5.862871106706864,-2.904795568244285,4.21197426749102,1.5840102190505256,1.559565718232738,-0.4568603523443944,0.09964130786236022,-0.2451244747599881,-0.13384223175774068,-0.8055890079246723,-0.42356878831752187,0.037517748168067314,0.16978099925802342,-0.16670260937125353,-0.05883855874115636,-0.13166220347394383,0.013067004032109392
Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,0.06,0.0,0.0,0.06,0,0.05,-0.01,0.12,42.02,2.6,71.5,15.78,6.99,0.01,2.31,0.92,0.46,10.46,1.04,0.06,9.36,0.06,4.68,1.04,1.27,48.6,21.7,29.7,8.5,61.1,6.1,0.1,0.7,3.0,3.7,2.6,0.0,0.0,0.06,0.06,0.17,0.06,0.0,0.0,0.0,0.0,1.97,1.04,0.58,0.35,1.62,0.75,10.81,3.35,4.22,1.39,1.45,0.23,0.06,1.97,2.77,5.2,49.6,16.9,77.2,0.46,50.0,3.96,51.6,1.91,0.46,0.12,0.46,0.52,28.96,84.8,4.5,-1.9453485136725848,-0.4389453610453132,5.587159735682289,-0.07397262172446784,1.2563717948094024,-1.0634725440270043,-1.3570835481311208,0.9443242254510231,-0.17050856204962989,0.028603010252240064,-0.42365643414761484,0.2262777506520124,-0.5330844148939526,-1.1285076884878091,0.6447144978937408,1.3527775200376198,0.9433143373054592,1.9627361928800422
Kevin Agudelo,COL,FW,Spezia,Serie A,0.26,0.0,0.07,0.13,0,0.05,-0.06,1.26,21.19,1.99,72.5,8.81,3.25,0.09,1.19,0.79,0.0,1.06,0.0,0.13,0.13,0.0,6.62,0.6,0.66,69.4,18.8,11.9,78.8,12.5,3.1,0.6,0.3,3.4,2.2,5.9,0.26,0.33,0.33,0.2,0.27,0.0,0.0,0.07,0.0,0.0,3.31,0.79,1.66,0.86,2.32,0.66,23.58,6.62,4.24,9.4,1.99,0.0,0.0,0.33,0.46,21.1,45.3,44.3,86.7,4.64,57.1,6.74,62.2,5.03,2.19,1.19,2.38,2.25,38.01,63.6,21.6,5.181885760982989,0.6239551639335434,0.8095516972837966,4.913389879813705,-2.106623896285742,3.28499419022307,2.984789540957336,-1.1777587040697757,-0.0952797190911399,-1.8550713650764263,0.0007464443775308274,0.4008865871782874,0.5592338161135176,2.270880740113371,-0.9971407570136409,-0.7275446588855339,1.8346346320620865,-0.6087543410864147
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,0.17,0.0,0.09,0.03,0,0.03,0.0,0.83,75.94,3.89,91.4,24.63,15.29,0.0,3.91,0.0,0.0,2.06,2.03,0.0,0.03,0.03,4.8,2.03,0.03,85.0,5.5,9.6,85.2,10.0,2.6,0.2,0.0,0.8,0.6,0.3,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.57,1.17,0.4,0.0,1.03,0.54,7.71,3.0,4.54,0.29,1.23,0.69,0.0,1.11,5.17,56.9,55.6,2.0,92.6,0.31,72.7,4.61,56.8,3.43,0.31,0.0,0.11,0.29,65.69,98.6,0.3,-5.798689659064014,-0.9518263418444194,-3.7498540431442744,-3.0385693921262935,-0.6438927699305664,-1.2452337569057146,3.100127150792918,0.28550994580124994,0.39277297063222477,0.04854331056929396,-0.04978142848296392,0.35850973065582853,0.6308443194375292,0.035283187659828845,0.180291910797301,-0.9072106136586926,-0.15624250620253788,-0.9362115543465669
Ruben Aguilar,FRA,"DF,FW",Monaco,Ligue 1,0.24,0.0,0.04,0.12,0,0.19,-0.01,0.32,64.74,3.81,82.4,27.61,8.66,-0.06,3.12,1.5,0.69,9.11,1.3,0.89,6.92,0.08,5.38,2.06,4.05,64.0,15.4,20.6,2.1,81.6,3.4,0.3,0.3,1.0,1.5,1.9,0.08,0.04,0.16,0.0,0.32,0.0,0.04,0.0,0.04,0.0,3.4,1.58,1.17,0.65,2.35,1.34,16.72,5.95,6.03,3.89,1.54,0.08,0.0,1.5,2.19,9.4,46.4,33.7,83.9,1.66,53.7,4.82,60.9,6.8,2.19,0.2,1.21,1.09,57.61,84.3,10.4,-0.48436089251113323,5.397549387948813,2.0721537749283883,1.3951915786048747,-1.4225113759544914,-0.4768664356601102,-1.6351022037484781,0.6762749152664934,-0.34050440008594185,0.38695865440791377,-0.26078937099069677,0.6875051102705506,1.2216523863318152,-0.8230241313237093,0.21898433741258608,-1.138196649125445,-0.8484274439052767,-1.4820798716953907
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,0.0,0.0,0.2,0.0,0,0.03,0.04,1.1,33.6,1.6,79.2,12.3,4.7,-0.03,1.6,0.2,0.0,0.8,0.8,0.0,0.0,0.0,3.9,0.9,0.4,82.4,7.4,10.1,77.7,16.7,3.9,0.6,0.3,4.8,2.4,3.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7,1.1,0.2,3.6,0.7,26.7,5.9,9.8,3.6,1.3,0.2,0.0,0.4,0.9,15.7,58.2,17.3,88.9,2.4,75.0,6.38,60.1,4.4,1.1,0.2,2.1,1.8,37.5,85.1,6.9,-0.772261536455753,-0.2847181915657648,0.024961023391756636,4.616737903008391,-1.4920132072982815,2.9782574515436333,2.990415473314691,-2.4285807844560616,0.502770341079534,1.2363045027312907,-0.703518762268805,-0.23433353437738544,-1.3236404231295444,1.3159597176575906,0.37788921035525,0.7486000732450556,1.408398490316668,-0.7265082012296092
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,0.38,0.0,0.08,0.08,0,0.05,-0.01,1.3,35.25,2.31,84.1,14.79,5.38,0.03,2.82,0.29,0.0,0.55,0.42,0.04,0.08,0.0,5.34,0.67,0.21,75.7,11.1,13.2,76.5,15.4,4.4,0.4,0.2,2.0,2.0,1.7,0.0,0.08,0.08,0.04,0.17,0.0,0.0,0.04,0.0,0.04,2.31,0.8,1.43,0.08,1.72,0.42,16.68,5.13,5.08,1.89,1.09,0.21,0.0,2.27,1.72,12.5,60.8,17.7,93.0,1.55,62.2,4.63,52.9,2.69,1.18,0.08,1.05,0.97,31.93,87.6,4.4,-1.8683480188773214,-1.1679694824967983,-1.206328440819128,2.5614357258469873,-0.2395908879580115,0.4424528045131706,2.8001638476227937,-0.2081258521492264,0.8672580263135133,-0.5924040691840956,0.6035252011084227,0.3722165460824067,-1.8136571612030101,1.6480716837364213,-0.3291232920879658,0.8496884237979612,-0.18829386258789524,1.1496618230009048
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,0.21,0.0,0.0,0.0,0,0.04,-0.06,0.63,43.85,2.73,82.6,9.09,10.21,-0.04,2.52,0.14,0.0,1.19,1.12,0.0,0.07,0.14,6.64,0.63,0.07,74.0,9.4,16.6,15.9,74.5,5.6,0.6,0.8,2.9,1.6,1.9,0.07,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1.96,1.54,0.35,0.07,1.47,0.77,11.96,3.85,7.62,0.07,1.4,0.28,0.0,1.12,7.76,55.0,38.2,2.3,93.2,0.42,83.3,6.07,52.8,2.31,0.21,0.07,0.28,0.35,32.45,99.1,0.2,-4.3710536013084145,-3.171237733109472,-0.4586890548568987,-0.35853725472135517,0.13608565051907967,2.4137845604679593,0.10545366033764354,-0.3915568889688572,-0.7015049590804168,-0.7264117004794141,-0.261355219010848,-1.1685089335606704,1.2240571960517213,-0.3314704197250629,-0.10221996650269201,1.1062055502694448,-1.7294535898982033,-1.1297526386280388
Ola Aina,NGA,DF,Fulham,Premier League,0.1,0.0,0.07,0.03,0,0.05,0.03,0.47,57.8,3.31,77.7,19.73,11.96,-0.01,3.31,0.51,0.3,9.56,1.11,0.0,8.45,0.0,4.09,1.28,1.42,58.9,15.8,25.4,17.1,62.4,4.9,0.2,0.1,1.4,2.5,2.6,0.0,0.0,0.03,0.03,0.14,0.0,0.0,0.0,0.0,0.0,1.59,0.91,0.47,0.2,1.39,0.57,8.82,2.2,4.83,0.74,1.59,0.27,0.0,1.76,4.09,5.9,46.8,16.5,82.3,1.15,61.8,5.21,55.2,3.85,1.18,0.17,0.68,0.51,43.55,95.4,2.0,-3.106321118293278,0.19443533725259254,2.7285780909474515,-1.9075406284843768,-0.8979091872870488,-1.5808354292428102,-0.9565782426213397,0.2890203996214279,-0.2562166360545755,0.42865910454076883,-0.5980399077718801,0.11106519892566691,-0.9747759440461448,0.6277732092336151,0.6508222869005567,0.015764044368207303,-0.1679084624544155,0.10030003825460894
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,0.06,0.0,0.06,0.06,0,0.06,0.03,1.03,50.32,2.95,83.7,22.82,5.19,0.0,1.92,0.9,0.32,8.59,0.45,0.45,7.69,0.0,5.0,0.77,1.92,65.7,20.9,13.4,72.5,8.5,2.5,0.3,0.1,0.6,1.3,4.2,0.45,0.0,0.06,0.0,0.13,0.0,0.06,0.0,0.0,0.0,1.99,1.03,0.83,0.13,1.67,0.77,15.45,4.62,8.4,2.31,1.73,0.0,0.0,0.96,2.5,9.0,44.2,30.6,81.2,3.91,60.7,4.8,65.4,6.28,1.99,0.9,1.41,1.35,42.69,92.0,5.1,0.20595291868905424,2.3967212631289527,2.277474564716591,-0.4836895672822229,-4.323935549306258,-0.5754313620119819,1.6472101821209306,-0.3008131517933137,0.6721149392964947,0.999615457388383,0.5014869306226354,-0.6421238035482751,-0.3149892326740444,0.16530754530111325,1.6230186559508808,-0.6065292079932239,-0.16035157871604816,1.267444374325558
Semi Ajayi,NGA,DF,West Brom,Premier League,0.1,0.03,0.06,0.0,0,0.01,0.02,0.42,30.65,2.07,74.3,7.51,8.25,-0.01,2.17,0.13,0.0,1.94,0.36,0.0,1.59,0.03,3.88,0.94,0.19,60.4,11.7,27.9,5.1,76.9,7.5,0.3,0.7,3.0,3.1,1.3,0.06,0.03,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,1.88,1.42,0.39,0.06,1.17,0.58,11.04,4.3,7.18,0.55,1.97,1.13,0.1,1.33,4.79,44.4,41.2,6.0,91.1,0.58,66.7,5.46,52.9,0.94,0.32,0.0,0.36,0.42,22.36,90.7,1.0,-4.3410626220083035,-4.770186269471403,2.0888141595758984,-0.23775520333071104,0.5983297058723658,2.9571276699742186,-0.5826323812637296,0.7847822293463649,-1.577889739969464,-0.34710550729962897,-0.393027992979639,-1.1886303913078782,1.2145299552725937,-2.540443887080965,-0.4963992852611721,1.124686309677601,1.9125156266352106,2.2261493823636114
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,0.15,0.0,0.49,0.12,5,0.11,-0.02,2.03,27.48,1.82,71.1,13.79,2.94,0.01,1.45,0.67,0.21,1.67,0.0,0.0,0.21,0.06,8.91,1.33,1.0,49.4,29.1,21.5,53.1,19.0,9.8,2.2,0.1,3.0,2.3,4.6,0.03,0.33,0.24,0.0,0.24,0.0,0.03,0.03,0.06,0.0,1.0,0.09,0.61,0.3,0.88,0.09,12.0,2.91,0.94,5.42,0.52,0.21,0.0,0.36,1.42,31.0,48.6,41.5,91.3,0.82,51.9,4.12,49.1,2.15,0.64,0.52,2.79,1.09,49.03,58.7,26.8,5.433561279601464,-4.620040067788381,0.7269516672731137,-0.25967015241932156,2.2870458811708896,-2.713632412501324,1.72080208668289,0.7826592951006935,-1.6495359649328072,-0.015498047593836205,0.3035325733392249,-0.7862499839423643,0.6033578327843673,0.8012174298176694,0.8415729053881803,-0.4114734721173738,0.32377209305742966,-1.1612552204904074
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,0.15,0.0,0.08,0.0,0,0.0,0.01,0.73,80.34,4.9,92.9,23.87,14.33,-0.0,5.75,0.15,0.0,2.34,1.84,0.0,0.5,0.04,6.4,2.72,0.0,86.4,6.0,7.7,23.2,71.4,3.5,0.1,0.2,0.9,1.1,0.6,0.0,0.08,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.76,1.07,0.5,0.19,1.23,0.61,10.11,3.79,5.21,0.77,1.46,0.42,0.0,1.46,4.06,31.4,54.3,4.0,90.8,0.57,86.7,6.08,54.6,6.32,0.73,0.11,0.15,0.23,70.08,98.1,0.2,-5.3925278525051095,1.0560557698909132,-4.419257752282522,-1.749776706602415,-0.5747752573595585,-0.8501404765551567,0.08636477601717865,-0.31603406712846044,-0.5048742970239829,-0.1868364153400652,-0.7437620433782042,-0.13777354816748574,0.02516385477376433,0.7811093141644272,0.22219917355398028,-0.3398891376201559,0.4372275875454057,-1.3551720502630071
