Player,Nation,Pos,Squad,Comp,CrdY/90,CrdR/90,G/90,A/90,PKatt,xA/90,(G-xG)/90,Sh/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,LongAtt/90,(A-xA)/90,(1/3)/90,PPA/90,CrsPA/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,Clr/90,TchDef:Pen%,Tch:Mid%,Tch:Att%,Tch:Live%,Dri/90,DriW%,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Toni Kroos,GER,MF,Real Madrid,La Liga,0.26,0.0,0.13,0.43,0,0.28,0.03,1.45,92.43,8.43,89.7,34.34,23.4,0.14,11.57,1.49,0.13,10.43,5.15,4.94,0.34,0.43,7.87,7.28,1.7,73.3,8.5,18.2,14.6,83.3,0.8,0.1,0.5,1.2,1.0,1.1,0.04,0.13,0.13,0.13,0.55,0.17,0.0,0.04,0.0,0.09,1.66,0.64,0.89,0.13,2.17,0.34,18.47,4.85,5.06,3.19,1.36,0.26,0.0,0.94,0.47,5.0,57.5,25.8,85.4,0.98,73.9,4.62,52.6,8.47,2.13,0.43,0.55,0.47,81.06,96.4,2.1,-0.9606452038737157,10.503995520504981,-4.655373564554435,-4.088991843073376,8.38052649503143,0.6460182981182648,-0.8874152734847671,1.6543390461759049,1.757190719482699,-0.7453422358050609,-1.6331348064099953,3.217253027513015,-1.3228734366340258,0.9872025303153282,0.17528998187629066,-0.30100714795873773,1.324087547030249,0.0421909977225577
Max Kruse,GER,"FW,MF",Union Berlin,Bundesliga,0.0,0.0,0.61,0.28,6,0.25,0.24,1.27,41.38,3.87,75.4,14.42,8.9,0.03,2.49,1.33,0.28,4.25,1.71,1.33,0.39,0.28,7.51,2.21,1.6,63.0,17.4,19.6,69.8,21.6,4.0,1.7,0.3,1.9,3.9,3.9,0.11,0.17,0.06,0.0,0.55,0.0,0.0,0.06,0.0,0.0,0.5,0.22,0.22,0.06,0.72,0.11,10.55,3.43,1.05,3.76,0.94,0.0,0.0,0.28,0.39,11.5,52.6,38.1,84.3,1.05,78.9,5.93,47.1,4.75,1.88,0.39,1.82,1.27,49.72,72.7,19.0,4.657303779357731,0.07195952375363367,-0.7394030524908886,-3.857691833356419,2.831310947756009,-1.5553022274853237,1.8456792926104773,1.261413811095955,0.003673434209310092,2.855125100388776,-0.4230686447280147,-2.528664606986156,-1.354869335699574,0.9739750600991594,-0.34091256345877285,1.461305535139641,0.07136856366160381,-0.27599935512105966
Lukas Kübler,GER,DF,Freiburg,Bundesliga,0.2,0.0,0.0,0.1,0,0.04,-0.01,0.2,42.76,3.47,67.1,13.78,9.29,0.07,2.04,0.92,0.2,8.57,0.41,0.0,8.16,0.1,7.04,1.02,1.84,44.9,19.1,36.0,7.9,60.9,8.1,0.7,0.5,2.4,2.1,4.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.04,1.53,0.31,0.2,1.84,0.82,15.2,3.88,8.78,1.22,1.63,0.31,0.0,1.73,3.47,4.9,42.2,22.1,79.2,0.92,66.7,5.63,38.9,2.24,1.02,0.0,0.51,0.61,27.45,90.0,5.4,-2.4610315780911685,-0.5271779411121464,5.5176973429589165,0.8225193172595422,1.2803715410994356,-0.36631095760198007,-1.0790019058352107,0.6797272614212057,0.2532480307117868,-0.7202541590380777,0.12283572848907949,-1.4974856784286887,-0.5660317107854808,0.0830123331777651,0.8052143953519164,0.49497387205423504,-0.7827554117086798,0.09192960663471864
Juraj Kucka,SVK,"MF,FW",Parma,Serie A,0.31,0.0,0.27,0.08,4,0.07,0.01,2.16,35.48,2.55,73.2,16.95,4.63,0.01,1.93,0.42,0.12,0.85,0.19,0.08,0.12,0.23,8.07,1.12,0.54,64.0,17.8,18.2,25.1,60.0,6.5,0.8,0.7,2.5,4.2,4.4,0.23,0.12,0.39,0.0,0.27,0.0,0.04,0.0,0.0,0.0,2.39,1.04,1.04,0.31,2.2,0.54,19.19,5.71,5.68,3.75,1.24,0.15,0.0,1.04,1.08,15.7,53.8,29.1,93.4,1.89,65.3,4.74,49.3,3.13,0.81,0.08,1.74,1.81,43.32,79.5,16.3,2.437375101802691,-0.9181513841951943,-0.39426262100708886,3.4389836810706385,1.3990559010041872,0.47543865563215526,0.42147442210125324,0.04830978781555083,-1.3292178480560695,0.8715936015760285,1.2414940232735787,-2.0259535561587847,-0.31121017840372045,-0.6725620218743955,0.7376753377134926,1.0923565352300473,-0.935940222923941,-0.0395526142495254
Dejan Kulusevski,SWE,"MF,FW",Juventus,Serie A,0.33,0.0,0.19,0.14,0,0.3,0.05,1.59,36.68,3.41,78.0,17.76,3.6,-0.16,1.64,1.73,0.51,1.17,0.23,0.75,0.09,0.14,7.29,0.65,2.1,78.9,10.1,11.1,76.2,18.6,2.7,0.8,0.5,1.3,3.4,5.4,0.28,0.33,0.09,0.09,0.28,0.0,0.05,0.0,0.0,0.0,1.54,0.47,0.61,0.47,1.78,0.56,20.61,5.42,5.19,6.54,1.31,0.0,0.0,0.56,0.05,25.4,39.5,49.5,89.8,2.99,54.7,6.77,63.8,8.22,2.43,1.96,2.1,2.76,48.97,75.6,21.0,5.87109781012905,2.3623574130354843,-0.8471082007162433,0.3219726028540045,-2.988984246975121,1.733288670377697,2.1023349172449066,-2.763482259407187,-0.21758690241613798,0.6516397059204732,-1.4104083455118674,-0.6706153231265648,1.0948257095743847,-0.6046998446008576,-2.492815736082477,-0.5096637511098381,-0.975825550400483,-0.38924606871519357
Marash Kumbulla,ALB,DF,Roma,Serie A,0.53,0.0,0.07,0.0,0,0.03,0.01,0.4,53.05,2.52,89.9,17.75,8.01,-0.03,2.58,0.0,0.0,2.12,1.66,0.0,0.46,0.13,5.03,0.99,0.07,82.1,7.5,10.4,16.2,77.5,3.1,0.0,0.0,0.5,0.6,1.7,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.53,0.26,0.07,1.06,0.2,12.98,4.97,6.29,0.73,1.13,0.33,0.0,0.99,3.51,20.0,54.2,4.7,91.6,0.13,100.0,4.63,54.0,3.58,0.73,0.0,0.33,0.13,45.63,97.1,0.3,-4.5036282620009285,-1.8894083945145095,-3.253478868935941,-0.6926393826918121,-0.7056984082897229,-0.8002613465093178,-0.4583452018513324,-0.8378602608071176,1.0304472729073098,0.7081414656181321,0.7479636001899418,0.4196853004728689,-0.7746164942001939,0.6219713783735881,-0.15788298521724456,-0.22194789080040814,-1.417203096924868,-0.09774969455514156
Fabian Kunze,GER,MF,Arminia,Bundesliga,0.43,0.0,0.0,0.0,0,0.03,-0.04,0.5,40.14,3.4,78.4,15.67,5.74,-0.03,2.91,0.21,0.0,0.99,0.71,0.0,0.28,0.0,8.51,0.57,0.21,66.4,14.7,18.9,8.7,76.0,8.0,0.2,0.2,1.4,2.5,1.8,0.14,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.49,1.42,0.21,3.05,0.99,21.77,5.18,7.87,2.27,2.41,0.21,0.0,1.06,2.2,5.8,56.7,15.3,92.0,1.28,72.2,4.93,55.0,1.84,0.99,0.14,0.43,1.21,31.28,90.7,5.5,-3.2789563784746036,-0.19252794912106863,0.2687800914683476,5.069709118810518,-0.1657184192933496,0.573306334530833,-0.40094176071266846,-0.7333237371746665,-0.23345002149490002,-0.012686648245369333,0.9228655400923319,-1.2426223776095087,0.06250306976083088,0.48058281233298733,0.5810347324078834,0.047494333873880995,-0.38106797709416534,0.13272021691301097
Jasmin Kurtić,SVN,MF,Parma,Serie A,0.16,0.0,0.13,0.0,0,0.07,0.01,1.15,47.3,3.78,83.1,16.32,9.57,-0.07,3.26,0.99,0.46,2.8,1.51,0.79,0.43,0.07,6.51,2.2,1.58,70.1,11.0,18.9,15.5,77.7,4.0,0.1,0.3,1.1,1.2,2.4,0.03,0.16,0.0,0.0,0.2,0.0,0.0,0.03,0.0,0.0,1.94,0.82,0.99,0.13,1.94,0.56,17.11,4.64,6.38,2.14,0.89,0.07,0.0,1.09,1.97,9.6,55.7,23.5,89.7,0.92,57.1,5.89,48.6,4.54,1.58,0.03,0.72,0.43,43.16,89.2,4.7,-1.785218912942042,0.9358126448890502,-0.7990525677424787,0.34143484850344785,0.5963560633721753,-0.3342241472435799,-0.7838248195280941,-1.4429242930797055,0.47153011157083624,1.1344058211105525,-0.5773829238819043,-0.7370872687468562,0.6875083003233127,1.4365800880573623,-0.6168588944006057,0.5420230660468025,-0.28697600900797565,0.08575852384193934
Layvin Kurzawa,FRA,DF,Paris S-G,Ligue 1,0.28,0.07,0.07,0.07,0,0.12,0.02,0.77,68.38,3.8,87.4,34.65,6.2,-0.05,2.61,1.2,0.42,8.31,1.13,0.0,7.18,0.07,5.42,0.56,2.75,73.4,16.2,10.4,75.5,8.7,3.0,0.5,0.2,1.4,2.2,1.5,0.0,0.0,0.21,0.0,0.14,0.0,0.0,0.0,0.07,0.0,2.25,0.99,0.85,0.42,2.11,0.7,11.76,4.3,4.01,3.17,1.76,0.35,0.0,1.9,2.18,8.8,46.4,28.5,85.8,2.18,54.8,3.44,54.7,4.79,1.41,0.21,1.55,1.06,57.46,92.5,7.0,-1.1370980669773376,2.8258665553429663,0.8614244635756566,0.18218673794736576,-2.2856595936798088,-2.9158515545247856,1.689756880101133,0.5947601024239308,-0.7456059716129719,0.6545227546521134,2.2546907655825015,2.3938173741026163,0.13265721557454205,-1.991855671572004,-1.0159143498787426,-1.4257920508842061,-0.8845885648413104,-0.3866668256370075
Enock Kwateng,FRA,DF,Bordeaux,Ligue 1,0.35,0.0,0.09,0.0,0,0.09,0.05,0.35,57.39,3.83,82.7,26.7,5.74,-0.09,2.43,0.52,0.26,8.43,0.52,0.0,7.91,0.0,8.61,0.52,1.22,63.6,19.4,17.0,11.4,68.5,3.9,0.5,0.0,1.5,2.9,1.4,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1.91,1.48,0.35,0.09,2.61,1.3,9.74,3.22,5.83,1.3,2.0,0.35,0.0,2.26,3.22,8.3,53.0,16.0,84.1,1.57,66.7,4.38,62.2,5.48,1.3,0.0,0.78,0.96,43.04,93.5,2.2,-3.3923139273545373,1.5271620247847442,1.899142242295268,0.6511289495017382,-2.203455904677674,-2.104260173352362,-1.0152138340657848,0.4872632163027538,-1.4534303780017777,1.0048588397332965,0.2050369862139448,-0.32801924459926124,-0.5652673337747653,0.23606298234432718,0.9145104659978878,-0.5207065777068385,-0.4053077985165861,-0.07263966156980625
Giorgos Kyriakopoulos,GRE,DF,Sassuolo,Serie A,0.19,0.06,0.06,0.0,0,0.07,-0.02,1.48,62.53,3.4,83.3,28.09,6.6,-0.07,2.53,0.93,0.43,7.35,0.93,0.12,6.3,0.0,5.49,0.93,3.02,70.7,17.0,12.3,74.8,11.7,2.2,0.1,0.1,1.2,2.0,2.9,0.19,0.12,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,2.84,1.67,0.74,0.43,1.98,0.93,12.72,3.83,5.8,2.35,1.85,0.37,0.0,0.86,2.72,6.3,41.7,28.9,83.7,2.78,62.2,5.14,57.0,7.16,2.65,0.37,1.23,1.3,55.19,93.3,5.6,-1.0305689555679483,3.3007967945246746,1.6240917204457503,-0.009218098913076648,-3.5051010393743796,-1.1639246057211465,1.7471869648352987,-0.7966836410009667,-1.0313955884459927,0.6415419055778093,0.5032320280241135,1.438450380729095,0.8168665959160722,0.09468292463307787,-1.223132713210872,-1.703426036036532,-0.4535622142884593,0.35938174239714504
