Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,CrdY/90,CrdR/90,G/90,A/90,(G+A)/90,PKatt,PK,(G-PK)/90,(G+A-PK)/90,xG/90,xA/90,(xG+xA)/90,npxG/90,(npxG+xA)/90,(G-xG)/90,(np:G-xG)/90,Sh/90,SoT/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,MedAtt/90,LongAtt/90,(A-xA)/90,KP/90,(1/3)/90,PPA/90,CrsPA/90,LiveAtt/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,SCA/90,(SCA:Live)/90,(SCA:Dead)/90,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Live)/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,TklW/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Mid)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,(Tkl+Int)/90,Clr/90,Tch/90,TchDef:Pen%,Tch:Def%,Tch:Mid%,Tch:Att%,TchAtt:Pen%,Tch:Live%,Dri/90,DriW%,Carries/90,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%
Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,2,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,,80.0,20.0,0.0,,80.0,0.0,,20.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,33.3,0.0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,22,20,1777,19.7,0.1,0.0,0.0,0.05,0.05,0,0,0.0,0.05,0.06,0.04,0.1,0.06,0.1,-0.06,-0.06,0.91,0.3,54.87,5.69,78.9,25.99,21.17,7.72,0.01,0.56,3.45,1.32,0.2,47.31,9.9,1.83,0.1,7.97,0.1,5.69,1.02,1.73,63.6,19.4,16.9,65.9,17.2,2.2,0.3,1.1,2.0,2.6,3.0,1.32,1.12,0.15,0.05,0.0,0.0,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.0,1.68,0.96,1.07,0.56,0.05,2.13,0.76,10.46,3.5,6.6,2.84,1.02,1.57,0.36,0.05,1.73,3.4,2.03,70.66,11.0,29.1,46.2,24.7,11.0,80.9,1.07,42.9,37.21,4.8,54.1,5.79,1.52,0.46,0.66,0.81,42.39,92.8,5.9
Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,2,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,86.7,35.0,30.0,10.0,0.0,0.0,5.0,0.0,0.0,60.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,66.7,26.7,6.7,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,12.5,26.3,31.6,42.1,12.5,78.9,10.0,50.0,55.0,4.27,85.1,10.0,5.0,0.0,0.0,5.0,60.0,91.7,18.2
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,33,33,2889,32.1,0.12,0.03,0.09,0.0,0.09,0,0,0.09,0.09,0.05,0.01,0.06,0.05,0.06,0.04,0.04,0.47,0.16,52.77,2.83,87.8,11.74,29.63,11.4,-0.01,0.12,2.52,0.03,0.0,51.59,1.84,1.84,0.0,0.0,0.0,5.23,1.21,0.0,79.6,7.2,13.2,66.2,27.7,3.3,0.2,0.2,1.5,1.4,0.8,0.34,0.31,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.4,1.59,0.62,0.0,1.15,0.47,11.81,4.55,7.85,3.43,0.53,1.59,0.62,0.06,1.74,3.96,5.3,69.47,51.2,53.9,44.2,1.8,51.2,91.0,0.62,60.0,41.71,5.65,55.4,1.81,0.25,0.03,0.25,0.47,43.83,97.0,0.5
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,3,0,60,0.7,1.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,1.43,58.3,2.86,7.14,4.29,0.0,0.0,0.0,1.43,0.0,17.14,0.0,0.0,0.0,0.0,0.0,10.0,1.43,1.43,66.7,0.0,33.3,8.3,83.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.43,0.0,1.43,0.0,22.86,5.71,7.14,11.43,4.29,0.0,0.0,0.0,1.43,2.86,1.43,27.14,0.0,10.5,57.9,31.6,0.0,89.5,4.29,33.3,15.71,4.18,47.8,1.43,1.43,0.0,0.0,0.0,14.29,80.0,12.5
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,18,15,1320,14.7,0.34,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,-0.07,-0.07,1.36,0.0,47.69,2.86,85.0,17.89,19.32,10.48,-0.05,0.82,4.08,0.48,0.27,45.99,3.33,2.18,0.95,0.2,0.07,5.65,2.24,1.43,75.0,9.7,15.3,13.8,81.2,2.6,0.6,0.7,2.1,1.4,1.0,1.91,1.22,0.27,0.14,0.0,0.14,0.14,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.52,1.63,1.09,1.22,0.2,1.7,0.75,16.67,5.78,5.1,9.05,2.52,1.22,0.14,0.0,1.56,4.08,0.95,64.49,7.5,23.5,58.1,18.4,7.5,87.0,2.18,71.9,40.48,5.86,48.5,4.08,1.5,0.07,0.41,1.22,42.72,90.0,2.5
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,38,32,2963,32.9,0.15,0.0,0.09,0.03,0.12,0,0,0.09,0.12,0.04,0.04,0.08,0.04,0.08,0.05,0.05,0.91,0.3,46.53,3.37,83.5,18.33,19.42,8.78,-0.01,0.64,3.43,0.52,0.12,46.99,1.4,1.12,0.03,0.21,0.06,9.7,1.61,0.55,73.7,12.4,13.8,8.6,87.4,2.8,0.3,0.3,1.8,3.1,1.8,1.7,1.22,0.03,0.03,0.15,0.12,0.15,0.3,0.18,0.03,0.0,0.03,0.03,0.03,4.86,3.28,1.98,2.4,0.49,5.44,1.61,29.12,8.18,9.82,16.38,2.92,1.55,0.18,0.03,1.4,6.26,0.4,63.59,5.5,24.5,60.7,14.8,5.5,92.4,0.94,71.0,41.4,4.25,49.9,3.25,1.03,0.09,1.25,1.4,43.37,92.6,3.6
Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,24,9,912,10.1,0.1,0.0,0.3,0.2,0.49,0,0,0.3,0.49,0.21,0.03,0.24,0.21,0.24,0.09,0.09,1.87,0.39,17.92,1.09,67.3,10.79,5.15,1.98,0.17,0.79,0.89,0.5,0.0,19.7,1.49,0.0,0.0,0.0,0.1,7.62,0.2,0.4,65.4,15.4,19.2,66.4,12.1,7.5,1.4,0.0,3.3,0.5,6.5,1.38,1.09,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.69,0.4,0.59,0.1,0.0,1.39,0.5,22.18,5.64,2.38,10.5,9.31,0.69,0.1,0.0,0.69,1.39,0.59,36.04,27.8,11.3,45.3,43.4,27.8,90.7,2.67,44.4,20.69,4.63,52.1,2.67,1.09,0.4,3.47,2.48,48.71,51.4,26.1
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,1,0,2,0.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,inf,,0.0,inf,,,,,,,,inf,,,,,,,,,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,inf,,,inf,,,,,,,,inf,0.0,0.0,0.0,100.0,0.0,100.0,inf,100.0,inf,3.5,42.9,,,,,,inf,100.0,0.0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,14,14,1260,14.0,0.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.08,0.0,0.09,0.08,0.09,-0.09,-0.09,0.93,0.21,43.79,2.21,80.9,9.57,19.57,14.64,-0.01,0.21,2.14,0.14,0.0,42.71,1.86,1.71,0.0,0.14,0.0,4.79,3.07,0.07,67.9,8.2,23.9,30.6,62.0,4.8,0.0,0.0,2.4,0.8,0.5,0.5,0.29,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.79,1.14,0.43,0.0,1.21,0.64,7.64,3.21,5.21,2.07,0.36,1.14,0.36,0.0,2.29,3.86,10.14,65.14,64.0,56.8,40.5,2.7,64.0,91.0,0.43,83.3,32.57,6.61,54.8,1.14,0.07,0.0,0.14,0.07,33.71,97.7,0.0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,14,14,1222,13.6,0.37,0.07,0.07,0.0,0.07,0,0,0.07,0.07,0.05,0.03,0.08,0.05,0.08,0.02,0.02,0.66,0.15,49.63,3.16,81.9,15.0,22.79,11.84,-0.04,0.15,3.68,0.22,0.15,46.47,4.19,1.25,0.0,2.94,0.07,5.51,1.69,0.59,62.8,13.5,23.7,9.9,72.6,7.8,0.1,0.4,1.0,0.7,1.5,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.96,0.74,0.37,0.15,1.47,0.59,10.59,4.71,5.96,3.46,1.18,1.91,0.37,0.07,1.1,2.35,2.43,62.06,8.0,38.2,50.0,11.8,8.0,87.4,0.44,50.0,31.99,5.31,54.6,3.24,0.66,0.0,0.22,0.0,34.78,96.0,1.8
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,22,12,1040,11.6,0.0,0.0,0.52,0.09,0.61,0,0,0.52,0.61,0.56,0.07,0.63,0.56,0.63,-0.03,-0.03,2.77,1.13,16.98,0.95,68.3,10.17,5.52,1.29,0.01,0.69,1.03,0.17,0.0,17.93,0.86,0.17,0.0,0.0,0.0,6.64,0.09,0.34,62.4,24.8,12.8,7.8,67.4,8.3,5.5,0.0,1.8,1.4,6.0,1.56,0.95,0.0,0.09,0.26,0.26,0.0,0.17,0.09,0.0,0.0,0.0,0.09,0.0,0.69,0.34,0.26,0.34,0.09,0.52,0.09,13.97,3.28,1.12,6.12,6.72,0.78,0.17,0.0,0.17,0.86,1.47,32.16,39.8,10.7,44.8,44.5,39.8,93.0,1.64,31.6,15.26,4.01,35.5,1.12,0.43,0.34,2.24,1.12,42.33,51.1,38.2
Amir Abrashi,ALB,"MF,DF",Freiburg,Bundesliga,30,5,0,60,0.7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,81.8,12.86,14.29,1.43,0.0,0.0,1.43,0.0,0.0,31.43,0.0,0.0,0.0,0.0,0.0,12.86,0.0,0.0,86.4,9.1,4.5,4.5,90.9,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,1.43,1.43,0.0,1.43,1.43,1.43,18.57,1.43,8.57,8.57,1.43,4.29,1.43,0.0,2.86,5.71,0.0,45.71,0.0,34.4,43.8,21.9,0.0,96.9,0.0,,20.0,4.0,51.8,0.0,0.0,0.0,0.0,2.86,30.0,81.0,0.0
Gennaro Acampora,ITA,"MF,FW",Spezia,Serie A,26,14,2,441,4.9,0.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,-0.06,-0.06,1.84,0.0,44.9,3.27,84.0,17.14,18.98,8.78,0.0,0.2,2.86,0.61,0.2,45.1,0.82,0.61,0.2,0.0,0.0,7.14,1.43,1.43,78.7,7.6,13.8,88.0,8.9,2.7,0.4,0.9,2.7,2.2,1.3,1.22,1.02,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,1.43,0.2,1.43,0.61,1.43,1.02,17.96,4.49,1.63,11.63,4.69,1.22,0.2,0.0,0.82,3.06,0.61,65.31,7.0,10.3,53.8,35.9,7.0,89.4,2.45,41.7,44.69,6.54,42.0,5.71,2.86,0.2,1.63,2.45,50.41,85.0,6.7
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,32,32,2813,31.3,0.29,0.03,0.0,0.03,0.03,0,0,0.0,0.03,0.03,0.03,0.06,0.03,0.06,-0.03,-0.03,0.26,0.0,63.23,3.16,88.6,19.33,29.33,14.57,0.0,0.38,3.67,0.64,0.29,61.57,3.45,1.73,0.0,0.77,0.03,5.85,2.33,0.83,72.1,10.2,17.7,75.6,16.7,4.6,0.2,0.2,1.3,0.7,0.7,1.02,0.86,0.03,0.0,0.06,0.0,0.06,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.76,1.21,1.15,0.51,0.1,1.18,0.35,11.18,4.66,6.42,3.8,0.96,1.63,0.61,0.0,1.98,3.74,4.95,82.94,9.7,47.4,45.1,7.5,9.7,87.8,0.38,91.7,46.26,6.78,53.1,3.71,1.02,0.03,0.45,0.26,50.86,97.3,1.4
Ragnar Ache,GER,"FW,DF",Eint Frankfurt,Bundesliga,22,7,0,100,1.1,0.91,0.0,0.9,0.0,0.9,0,0,0.9,0.9,0.24,0.0,0.24,0.24,0.24,0.64,0.64,1.8,0.9,27.27,0.91,54.3,19.09,8.18,0.0,0.0,0.0,0.91,0.0,0.0,31.82,0.0,0.0,0.0,0.0,0.0,14.55,0.0,0.0,42.9,31.4,25.7,8.6,45.7,11.4,0.0,0.0,0.0,2.9,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.91,2.73,0.0,26.36,4.55,0.91,16.36,9.09,1.82,0.0,0.0,0.0,0.91,0.91,52.73,45.8,3.4,55.2,41.4,45.8,93.1,0.0,,22.73,3.32,68.7,3.64,1.82,0.0,6.36,3.64,68.18,54.7,36.6
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,30,26,2330,25.9,0.19,0.0,0.04,0.08,0.12,0,0,0.04,0.12,0.04,0.11,0.15,0.04,0.15,-0.0,-0.0,0.7,0.12,66.45,4.71,80.5,23.63,28.96,13.86,-0.03,1.27,4.25,1.39,0.69,57.57,10.81,1.7,0.93,8.19,0.08,6.83,2.59,3.13,59.1,16.8,24.1,73.0,12.0,2.2,0.1,0.2,1.7,2.0,2.7,2.24,1.51,0.42,0.19,0.08,0.0,0.04,0.15,0.08,0.04,0.0,0.04,0.0,0.0,2.78,1.81,1.51,0.89,0.39,1.51,0.89,13.32,4.52,5.91,5.1,2.32,1.51,0.12,0.0,0.97,3.75,1.31,82.78,5.9,32.8,42.7,24.5,5.9,82.1,2.32,68.3,50.54,4.51,64.2,5.14,1.31,0.31,1.27,1.27,55.48,94.4,4.1
Che Adams,SCO,FW,Southampton,Premier League,24,36,30,2667,29.6,0.03,0.0,0.3,0.17,0.47,0,0,0.3,0.47,0.3,0.19,0.49,0.3,0.49,0.01,0.01,1.89,1.05,18.89,2.06,70.0,10.2,6.22,2.47,-0.03,1.15,0.91,0.84,0.07,20.98,0.41,0.03,0.0,0.0,0.27,5.95,0.47,0.44,62.9,19.7,17.4,6.2,79.0,5.7,3.8,0.9,1.4,4.4,5.2,2.23,1.62,0.0,0.03,0.2,0.27,0.1,0.27,0.24,0.0,0.0,0.0,0.03,0.0,1.01,0.57,0.17,0.44,0.41,0.78,0.2,14.53,4.66,1.62,5.47,7.43,0.88,0.14,0.0,0.37,1.39,0.54,34.93,22.4,9.5,42.9,47.6,22.4,93.3,1.49,56.8,21.28,4.17,44.5,2.26,0.91,0.34,2.5,1.76,49.8,49.8,25.7
Tyler Adams,USA,"DF,MF",RB Leipzig,Bundesliga,21,27,21,1850,20.6,0.15,0.0,0.05,0.05,0.1,0,0,0.05,0.1,0.04,0.04,0.09,0.04,0.09,0.0,0.0,0.34,0.19,64.56,4.37,86.1,31.46,26.31,6.8,0.0,0.63,4.13,0.92,0.1,61.84,4.9,1.12,0.0,3.79,0.0,8.93,0.44,0.58,74.5,12.8,12.7,11.1,76.9,4.1,0.6,0.1,0.5,2.4,2.0,1.31,1.12,0.0,0.0,0.0,0.15,0.05,0.15,0.1,0.0,0.0,0.0,0.0,0.05,2.52,1.5,0.92,1.26,0.34,1.75,0.73,17.57,5.73,4.56,9.81,3.2,1.8,0.29,0.0,1.5,4.03,1.94,83.83,5.4,22.8,55.6,21.5,5.4,88.0,1.02,85.7,51.8,4.91,49.5,5.15,1.65,0.19,0.87,1.5,57.67,91.6,4.3
Sargis Adamyan,ARM,"FW,MF",Hoffenheim,Bundesliga,27,18,3,479,5.3,0.38,0.0,0.38,0.56,0.94,0,0,0.38,0.94,0.41,0.33,0.75,0.41,0.75,-0.04,-0.04,3.95,1.13,28.3,2.64,71.9,14.91,9.62,3.77,0.23,2.26,1.13,1.51,0.19,30.57,0.94,0.19,0.0,0.57,0.0,7.17,0.57,1.13,61.7,20.4,18.0,13.2,70.7,8.4,2.4,0.6,3.6,3.6,7.8,4.13,2.83,0.19,0.19,0.38,0.57,0.0,1.13,0.57,0.0,0.0,0.38,0.19,0.0,1.51,0.94,0.57,0.57,0.38,2.08,0.57,15.28,2.83,3.02,6.23,6.04,0.94,0.0,0.0,1.32,2.83,0.19,51.89,26.2,9.5,32.4,58.2,26.2,88.7,2.08,27.3,33.4,7.1,59.1,5.85,3.21,0.57,3.58,2.08,48.49,73.2,27.1
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,33,33,2953,32.8,0.03,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,-0.03,-0.03,0.61,0.15,54.73,2.23,87.4,10.37,30.03,14.33,-0.01,0.15,2.07,0.15,0.03,54.12,1.49,1.28,0.0,0.21,0.06,5.34,1.49,0.09,77.2,7.0,15.7,13.6,79.1,4.4,0.2,0.2,1.8,1.2,0.9,0.52,0.49,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.25,0.79,0.95,0.27,0.03,1.16,0.61,5.55,1.8,3.51,1.83,0.21,1.16,0.7,0.0,1.68,2.93,7.35,71.07,46.6,57.4,39.5,3.1,46.6,93.2,0.34,72.7,40.37,4.66,56.0,1.52,0.18,0.0,0.15,0.24,46.68,97.4,0.3
Bobby Adekanye,NED,"FW,MF",Cádiz,La Liga,21,3,0,36,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,-0.5,-0.5,2.5,0.0,22.5,0.0,70.0,7.5,10.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,10.0,20.0,90.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,12.5,2.5,2.5,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,52.5,36.4,9.5,38.1,52.4,36.4,85.7,5.0,50.0,37.5,5.87,69.3,7.5,5.0,2.5,10.0,0.0,35.0,85.7,33.3
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,35,25,2418,26.9,0.22,0.0,0.07,0.19,0.26,0,0,0.07,0.26,0.05,0.18,0.23,0.05,0.23,0.02,0.02,0.89,0.33,58.07,5.28,82.6,21.15,24.01,12.9,0.01,1.97,5.5,0.89,0.15,58.33,2.23,1.41,0.67,0.15,0.37,9.63,2.64,1.12,77.5,9.7,12.8,8.3,88.1,1.9,0.3,0.4,1.7,2.6,2.2,3.42,2.53,0.33,0.22,0.04,0.11,0.19,0.3,0.22,0.04,0.0,0.04,0.0,0.0,3.38,2.3,1.45,1.49,0.45,3.2,1.04,25.84,6.91,7.81,13.31,4.72,1.34,0.15,0.0,1.52,4.91,0.89,77.51,5.1,20.1,60.1,19.8,5.1,90.6,3.09,66.3,52.34,4.97,56.2,5.8,1.75,0.26,1.23,1.6,57.96,92.9,2.3
Andrea Adorante,ITA,FW,Parma,Serie A,20,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,33.3,66.7,0.0,,66.7,10.0,0.0,20.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0
Adrián,ESP,GK,Liverpool,Premier League,33,3,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.33,0.0,76.8,5.33,12.67,14.33,0.0,0.0,0.0,0.0,0.0,23.33,9.67,2.33,0.0,0.0,0.0,3.0,0.33,0.0,57.6,9.1,33.3,12.1,66.7,0.0,20.2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67,,100.0,0.0,0.0,,74.3,0.0,,16.67,3.24,45.7,0.0,0.0,0.0,0.0,0.0,15.67,97.9,0.0
Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,24,26,16,1558,17.3,0.06,0.0,0.0,0.06,0.06,0,0,0.0,0.06,0.01,0.05,0.06,0.01,0.06,-0.01,-0.01,0.12,0.0,40.06,2.6,71.5,15.78,17.28,6.99,0.01,0.69,2.31,0.92,0.46,31.56,10.46,1.04,0.06,9.36,0.06,4.68,1.04,1.27,48.6,21.7,29.7,8.5,61.1,6.1,0.1,0.7,3.0,3.7,2.6,1.33,0.81,0.4,0.0,0.0,0.06,0.06,0.17,0.12,0.06,0.0,0.0,0.0,0.0,1.97,0.92,1.04,0.58,0.35,1.62,0.75,10.81,3.35,4.22,5.2,1.39,1.45,0.23,0.06,1.97,3.93,2.77,52.89,5.2,33.4,49.6,16.9,5.2,77.2,0.46,50.0,23.82,3.96,51.6,1.91,0.46,0.12,0.46,0.52,28.96,84.8,4.5
Lucien Agoume,FRA,MF,Spezia,Serie A,18,12,9,800,8.9,0.22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.23,0.0,54.04,4.04,89.7,19.1,24.61,10.34,-0.01,0.22,4.38,0.45,0.0,53.93,1.57,1.46,0.0,0.11,0.11,8.43,2.13,0.0,76.1,8.7,15.2,15.6,77.7,4.3,0.6,0.6,1.0,1.6,0.2,0.68,0.67,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.0,0.0,0.0,0.0,0.0,1.57,1.24,1.01,0.56,0.0,1.46,0.22,16.97,4.83,5.73,9.66,1.57,2.02,0.45,0.0,2.25,3.82,1.57,67.08,1.4,29.1,58.5,12.4,1.4,93.3,0.79,57.1,41.01,4.56,38.8,1.91,0.45,0.11,0.22,1.24,44.61,93.7,2.2
Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,20,15,8,701,7.8,0.0,0.0,0.13,0.0,0.13,0,0,0.13,0.13,0.07,0.05,0.13,0.07,0.13,0.05,0.05,0.51,0.13,34.87,1.28,72.7,17.44,12.95,4.49,-0.05,0.38,1.15,0.51,0.38,28.59,8.46,0.13,0.0,8.33,0.0,5.9,0.64,1.28,57.8,20.1,22.1,16.3,55.0,4.8,0.0,0.0,1.7,5.5,3.8,0.77,0.51,0.0,0.13,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,3.46,2.05,1.54,1.41,0.51,3.08,1.67,23.08,6.15,11.03,8.08,3.97,2.05,0.38,0.0,2.69,6.15,2.95,55.9,8.7,37.6,41.3,21.1,8.7,82.1,1.54,33.3,27.18,4.07,57.1,1.92,0.64,0.0,1.54,1.54,31.92,77.5,11.9
Kevin Agudelo,COL,FW,Spezia,Serie A,21,29,14,1356,15.1,0.26,0.0,0.07,0.13,0.2,0,0,0.07,0.2,0.13,0.05,0.18,0.13,0.18,-0.06,-0.06,1.26,0.27,19.67,1.99,72.5,8.81,7.62,3.25,0.09,0.73,1.19,0.79,0.0,20.13,1.06,0.0,0.13,0.13,0.0,6.62,0.6,0.66,69.4,18.8,11.9,78.8,12.5,3.1,0.6,0.3,3.4,2.2,5.9,2.32,1.13,0.07,0.26,0.33,0.33,0.2,0.27,0.2,0.0,0.0,0.07,0.0,0.0,3.31,1.99,0.79,1.66,0.86,2.32,0.66,23.58,6.62,4.24,9.93,9.4,1.99,0.0,0.0,0.33,3.64,0.46,41.85,21.1,10.4,45.3,44.3,21.1,86.7,4.64,57.1,26.75,6.74,62.2,5.03,2.19,1.19,2.38,2.25,38.01,63.6,21.6
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,35,35,3147,35.0,0.17,0.0,0.09,0.03,0.11,0,0,0.09,0.11,0.08,0.03,0.11,0.08,0.11,0.0,0.0,0.83,0.17,74.97,3.89,91.4,24.63,35.06,15.29,0.0,0.11,3.91,0.0,0.0,73.89,2.06,2.03,0.0,0.03,0.03,4.8,2.03,0.03,85.0,5.5,9.6,85.2,10.0,2.6,0.2,0.0,0.8,0.6,0.3,0.4,0.34,0.0,0.0,0.06,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.57,1.06,1.17,0.4,0.0,1.03,0.54,7.71,3.0,4.54,2.89,0.29,1.23,0.69,0.0,1.11,2.69,5.17,91.03,56.9,42.3,55.6,2.0,56.9,92.6,0.31,72.7,58.86,4.61,56.8,3.43,0.31,0.0,0.11,0.29,65.69,98.6,0.3
