Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,CrdY/90,CrdR/90,G/90,A/90,(G+A)/90,PKatt,PK,(G-PK)/90,(G+A-PK)/90,xG/90,xA/90,(xG+xA)/90,npxG/90,(npxG+xA)/90,(G-xG)/90,(np:G-xG)/90,Sh/90,SoT/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,MedAtt/90,LongAtt/90,(A-xA)/90,KP/90,(1/3)/90,PPA/90,CrsPA/90,LiveAtt/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,SCA/90,(SCA:Live)/90,(SCA:Dead)/90,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Live)/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,TklW/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Mid)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,(Tkl+Int)/90,Clr/90,Tch/90,TchDef:Pen%,Tch:Def%,Tch:Mid%,Tch:Att%,TchAtt:Pen%,Tch:Live%,Dri/90,DriW%,Carries/90,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%
Cesc Fàbregas,ESP,MF,Monaco,Ligue 1,33,21,7,877,9.7,0.21,0.0,0.21,0.31,0.51,2,2,0.0,0.31,0.31,0.3,0.62,0.16,0.46,-0.11,-0.15,0.82,0.21,80.52,9.28,79.2,30.62,30.72,19.18,0.01,2.68,9.38,1.86,0.31,73.81,9.9,3.4,5.77,0.52,0.41,10.62,4.33,1.55,64.9,12.6,22.5,13.5,80.7,3.3,0.7,0.2,1.2,1.8,2.0,4.82,2.89,1.65,0.21,0.0,0.1,0.0,0.51,0.52,0.0,0.0,0.0,0.0,0.0,2.27,1.44,0.93,1.03,0.31,3.3,0.93,16.29,4.54,3.3,9.28,3.71,1.24,0.21,0.0,0.31,2.58,0.62,97.11,9.3,16.2,53.0,30.8,9.3,85.0,1.13,54.5,59.28,3.67,55.2,4.85,1.13,0.1,1.03,1.24,75.36,91.2,7.8
Bandiougou Fadiga,FRA,"FW,MF",Paris S-G,Ligue 1,19,6,0,63,0.7,1.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,-0.14,-0.14,1.43,1.43,48.57,1.43,97.1,31.43,14.29,2.86,0.0,0.0,4.29,1.43,1.43,47.14,1.43,1.43,0.0,0.0,1.43,8.57,0.0,1.43,97.1,0.0,2.9,26.5,70.6,2.9,0.0,2.9,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,1.43,0.0,0.0,0.0,0.0,24.29,10.0,2.86,11.43,10.0,0.0,0.0,0.0,1.43,2.86,0.0,67.14,6.7,23.4,44.7,31.9,6.7,89.4,4.29,66.7,48.57,5.56,60.8,5.71,2.86,0.0,2.86,2.86,57.14,85.0,8.8
Bandiougou Fadiga,FRA,MF,Brest,Ligue 1,19,4,0,43,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,58.0,6.0,86.2,26.0,20.0,12.0,0.0,2.0,2.0,2.0,0.0,54.0,4.0,4.0,0.0,0.0,0.0,6.0,2.0,2.0,86.2,3.4,10.3,17.2,82.8,0.0,0.0,0.0,3.4,0.0,0.0,4.19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,82.0,0.0,14.6,53.7,31.7,0.0,87.8,2.0,0.0,62.0,3.84,60.5,4.0,2.0,0.0,4.0,6.0,56.0,100.0,7.1
Wout Faes,BEL,DF,Reims,Ligue 1,22,33,33,2899,32.2,0.4,0.06,0.03,0.0,0.03,0,0,0.03,0.03,0.02,0.0,0.03,0.02,0.03,0.01,0.01,0.25,0.03,49.75,2.3,87.4,11.77,23.94,14.04,-0.0,0.09,2.42,0.09,0.0,49.44,0.96,0.81,0.0,0.16,0.03,4.19,2.02,0.03,77.0,7.9,15.1,11.6,81.8,4.6,0.1,0.2,1.5,1.4,0.6,0.34,0.25,0.03,0.0,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.0,0.0,1.52,0.99,1.21,0.31,0.0,1.3,0.53,7.05,2.67,4.72,2.17,0.16,1.58,0.96,0.03,1.71,3.23,5.65,64.63,60.6,58.1,40.3,1.6,60.6,93.6,0.5,81.2,39.5,5.13,57.3,2.64,0.19,0.03,0.37,0.43,41.34,98.0,0.2
Nicolò Fagioli,ITA,MF,Juventus,Serie A,19,1,0,21,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,15.0,94.4,35.0,50.0,5.0,0.0,0.0,15.0,0.0,0.0,85.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,88.9,0.0,11.1,5.6,94.4,0.0,0.0,0.0,0.0,0.0,5.6,4.29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,5.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,23.8,66.7,9.5,0.0,95.2,10.0,100.0,100.0,4.65,61.3,10.0,0.0,0.0,0.0,0.0,90.0,94.4,5.9
Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,31,22,22,1876,20.8,0.1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,-0.0,-0.0,0.05,0.0,39.47,0.0,65.6,4.9,11.68,22.88,-0.0,0.1,0.38,0.0,0.0,27.02,12.64,3.8,0.0,0.0,0.0,2.26,1.06,0.0,47.8,3.6,48.6,9.0,71.6,0.0,14.1,0.4,1.3,0.6,0.1,0.34,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.19,0.05,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,100.0,98.8,1.1,0.1,100.0,71.3,0.0,,18.41,4.79,53.8,0.0,0.0,0.0,0.0,0.0,17.79,100.0,0.0
Romain Faivre,FRA,"MF,FW",Brest,Ligue 1,22,36,33,2891,32.1,0.0,0.0,0.19,0.16,0.34,1,1,0.16,0.31,0.22,0.18,0.4,0.2,0.37,-0.03,-0.04,1.9,0.68,44.39,3.93,80.2,20.47,16.04,7.88,-0.02,1.96,2.43,1.09,0.16,41.0,5.17,1.78,2.74,0.4,0.09,5.92,1.74,1.43,71.6,12.3,16.1,83.1,13.2,1.6,0.1,0.3,1.4,2.8,2.6,4.67,2.31,1.15,0.37,0.25,0.53,0.06,0.44,0.16,0.12,0.03,0.06,0.06,0.0,2.09,1.46,0.78,1.0,0.31,1.62,0.56,16.17,5.39,5.48,6.82,3.86,1.34,0.0,0.0,1.03,3.12,0.53,66.36,10.1,16.0,43.9,40.1,10.1,81.8,4.17,66.4,43.12,7.23,59.0,7.38,3.77,0.56,1.87,1.65,48.22,83.6,12.8
Fali,ESP,"DF,MF",Cádiz,La Liga,26,34,29,2637,29.3,0.38,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,-0.02,-0.02,0.38,0.07,23.89,1.81,70.6,5.36,9.45,9.08,-0.02,0.27,1.88,0.27,0.1,22.18,2.22,1.91,0.0,0.24,0.1,2.94,1.57,0.44,52.3,12.0,35.7,21.4,68.7,6.7,0.3,0.3,3.2,1.8,1.4,0.68,0.51,0.0,0.07,0.07,0.03,0.0,0.1,0.03,0.0,0.03,0.03,0.0,0.0,1.47,0.72,0.89,0.48,0.1,0.99,0.34,9.56,2.76,5.02,3.92,0.61,1.54,0.55,0.03,0.82,2.29,5.05,35.15,22.5,41.5,49.9,8.6,22.5,90.5,0.31,88.9,14.98,4.58,50.0,1.23,0.27,0.03,0.27,0.2,17.03,93.8,1.9
Iago Falque,ESP,"MF,FW",Benevento,Serie A,30,11,4,358,4.0,0.0,0.0,0.25,0.25,0.5,0,0,0.25,0.5,0.09,0.33,0.41,0.09,0.41,0.18,0.18,2.77,0.25,49.5,5.75,75.0,20.0,18.5,11.0,-0.08,3.0,3.0,3.5,0.25,47.25,4.75,1.5,2.25,0.5,0.25,9.5,2.25,3.5,65.4,9.6,25.0,84.6,13.0,1.0,0.0,0.0,1.9,1.0,2.9,7.29,5.0,0.5,1.0,0.5,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.25,0.25,1.25,0.25,9.75,3.75,3.0,3.75,3.0,0.75,0.25,0.0,0.75,1.75,0.5,70.75,14.1,7.8,47.0,45.2,14.1,84.5,2.75,54.5,50.25,6.91,50.0,9.75,3.5,1.0,2.25,2.25,59.0,78.4,19.5
Andri Fannar Baldursson,ISL,MF,Bologna,Serie A,18,8,1,217,2.4,0.83,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.09,0.04,0.14,0.09,0.14,-0.08,-0.08,0.83,0.0,29.17,2.08,78.6,10.42,15.42,3.33,-0.04,0.42,3.33,0.83,0.0,28.75,0.42,0.42,0.0,0.0,0.0,4.17,0.42,0.0,74.3,14.3,11.4,25.7,67.1,2.9,0.0,0.0,2.9,4.3,0.0,1.66,1.67,0.0,0.0,0.0,0.0,0.0,0.41,0.42,0.0,0.0,0.0,0.0,0.0,2.08,1.25,1.25,0.42,0.42,1.25,0.42,30.83,5.0,11.25,14.17,5.42,2.08,0.42,0.0,0.42,2.5,3.33,50.0,12.5,31.7,48.3,20.0,12.5,92.5,0.83,50.0,28.33,4.76,38.6,3.33,1.25,0.0,2.08,1.67,29.17,94.3,7.6
